MAV> dump GPS
2026-03-06 03:29:43.000 GPS {TimeUS : 20199417, I : 0, Status : 6, GMS : 444601000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:43.200 GPS {TimeUS : 20399337, I : 0, Status : 6, GMS : 444601200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:43.399 GPS {TimeUS : 20599257, I : 0, Status : 6, GMS : 444601400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:43.599 GPS {TimeUS : 20799177, I : 0, Status : 6, GMS : 444601600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:43.799 GPS {TimeUS : 20999097, I : 0, Status : 6, GMS : 444601800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:44.000 GPS {TimeUS : 21199850, I : 0, Status : 6, GMS : 444602000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:44.200 GPS {TimeUS : 21399770, I : 0, Status : 6, GMS : 444602200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:44.400 GPS {TimeUS : 21599690, I : 0, Status : 6, GMS : 444602400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:44.600 GPS {TimeUS : 21799610, I : 0, Status : 6, GMS : 444602600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:44.800 GPS {TimeUS : 21999530, I : 0, Status : 6, GMS : 444602800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:45.000 GPS {TimeUS : 22199450, I : 0, Status : 6, GMS : 444603000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:45.200 GPS {TimeUS : 22399370, I : 0, Status : 6, GMS : 444603200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:45.399 GPS {TimeUS : 22599290, I : 0, Status : 6, GMS : 444603400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:45.599 GPS {TimeUS : 22799210, I : 0, Status : 6, GMS : 444603600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
